nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,1
ReturnValueIgnored.ql,1
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,1
OverflowDestination.ql,7
MemoryMayNotBeFreed.ql,22
Unused.ql,82
InconsistentNullnessTesting.ql,3
FileMayNotBeClosed.ql,4
GlobalUseBeforeInit.ql,159
NotInitialised.ql,8
UseAfterFree.ql,1
MemoryNeverFreed.ql,9
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,8
InitialisationNotRun.ql,1
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,1
DeadCodeGoto.ql,1
MissingNegativityTest.ql,2
NewFreeMismatch.ql,1
SizeCheck2.ql,1
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,1
MissingNullTest.ql,28
ReturnStackAllocatedObject.ql,1
DeadCodeCondition.ql,2
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,1
TaintedPath.ql,3
UnsignedDifferenceExpressionComparedZero.ql,1
TOCTOUFilesystemRace.ql,1
IRUntrustedDataToExternalAPI.ql,2
CountUntrustedDataToExternalAPI.ql,1
UntrustedDataToExternalAPI.ql,1
IRCountUntrustedDataToExternalAPI.ql,2
PotentiallyDangerousFunction.ql,2
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,1
UseOfHttp.ql,1
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,1
TwiceLocked.ql,1
LockOrderCycle.ql,1
CleartextTransmission.ql,1
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,1
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,1
UnboundedWrite.ql,1
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,2
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,1
ArithmeticTainted.ql,3
